Store Number,Store Type,Address,City,State,Zip Code,Phone Number,Play Place,Drive Thru,Arch Card,Free Wi-Fi,Latitude,Longitude
,,,,,,,,,,,,
5609,Freestanding,1223 Worchester Road,Framingham,MA,1701,(508) 875-9771,Y,Y,N,Y,42.298775,-71.448158
,,,,,,,,,,,,
5610,Freestanding,14 E Clark St,Middleboro,MA,2346,(508) 947-5600,N,Y,Y,Y,41.88401,-70.917755
,,,,,,,,,,,,
5611,Freestanding,1205 Campus Dr,Wausau,WI,54401,(715) 675-2376,Y,Y,Y,Y,44.987201,-89.651976
,,,,,,,,,,,,
5612,Freestanding,2626 Allen Blvd,Middleton,WI,53562-2214,(608) 836-6644,Y,Y,Y,Y,43.103935,-89.487308
,,,,,,,,,,,,
5615,Freestanding,372 Blanding Blvd,Orange Park,FL,32073,(904) 272-6319,N,Y,Y,Y,30.166446,-81.748459
,,,,,,,,,,,,
5617,Freestanding,109 Lucile,Forsyth,IL,62535,(217) 875-7913,N,Y,Y,Y,39.919314,-88.954826
,,,,,,,,,,,,
5618,Freestanding,3620 N Clark,Chicago,IL,60613-3808,(773) 549-0683,N,Y,Y,Y,41.94777,-87.657292
,,,,,,,,,,,,
5619,Freestanding,1575 E Highland Ave,San Bernardino,CA,92404,(909) 883-1272,Y,Y,Y,Y,34.13554,-117.252777
,,,,,,,,,,,,
5620,Freestanding,1909 Mount Zion Rd,Decatur,IL,62521-9718,(217) 864-4937,Y,Y,Y,Y,39.819682,-88.878669
,,,,,,,,,,,,
5622,Freestanding,Us 17 At Us 17A,Georgetown,SC,29442,(843) 546-8758,N,Y,Y,Y,33.374524,-79.288391
,,,,,,,,,,,,
5623,Freestanding,3502 Roosevelt,San Antonio,TX,78214-2845,(210) 927-5273,Y,Y,Y,Y,29.354962,-98.480584
,,,,,,,,,,,,
5624,Freestanding,2130 Generals Hwy,Annapolis,MD,21401,(410) 573-4807,N,Y,Y,Y,38.987674,-76.54922
,,,,,,,,,,,,
5625,Freestanding,4717 Apex Hwy,Durham,NC,27713-2256,(919) 572-6646,N,Y,Y,Y,35.901162,-78.895298
,,,,,,,,,,,,
5626,Freestanding,3350 W Sterns Rd,Lambertville,MI,48144-9738,(734) 856-7338,Y,Y,Y,Y,41.749593,-83.627293
,,,,,,,,,,,,
5627,Freestanding,16Th Street & Broadway,Watervliet,NY,12189,(518) 274-6323,Y,Y,Y,Y,42.727643,-73.700823
,,,,,,,,,,,,
5628,Freestanding,23742 Rockfield Dr,Lake Forest,CA,92630,(949) 581-9261,Y,Y,Y,Y,33.627804,-117.716232
,,,,,,,,,,,,
5629,Freestanding,770 Excelsior Blvd,Excelsior,MN,55331-1968,(952) 474-4998,N,Y,Y,Y,44.902279,-93.558319
,,,,,,,,,,,,
5630,Freestanding,1786 Hooper Ave,Silverton,NJ,8753,(732) 255-2205,Y,Y,Y,Y,40.009037,-74.148186
,,,,,,,,,,,,
5631,Freestanding,4825 Merle Hay Rd,Des Moines,IA,50322,(515) 276-1968,N,Y,Y,Y,41.648184,-93.696622
,,,,,,,,,,,,
5632,Freestanding,85 Bruckner Blvd,Bronx,NY,10454,(718) 585-8368,Y,Y,Y,Y,40.80632,-73.925667
,,,,,,,,,,,,
5633,Freestanding,2040 N 1St St,San Jose,CA,95131-2001,(408) 436-0760,N,Y,Y,Y,37.375099,-121.918892
,,,,,,,,,,,,
5635,Freestanding,300 N Dual Hwy,Seaford,DE,19973,(302) 629-3666,N,Y,Y,Y,38.653074,-75.595114
,,,,,,,,,,,,
5636,Freestanding,699 10Th St E,Palmetto,FL,34221-4072,(941) 729-9573,N,Y,Y,Y,27.520835,-82.557989
,,,,,,,,,,,,
5637,Freestanding,2130 Main St,Eagle Pass,TX,78852-4419,(830) 773-5141,Y,Y,Y,Y,28.708499,-100.485504
,,,,,,,,,,,,
5638,Freestanding,1043 Briarsdale Rd,Harrisburg,PA,17109,(717) 564-9320,N,Y,Y,Y,40.278009,-76.821769
,,,,,,,,,,,,
5639,Freestanding,909 Fairmont Rd,Morgantown,WV,26501,(304) 296-8222,Y,Y,Y,Y,39.63043,-79.984343
,,,,,,,,,,,,
5640,Freestanding,3925 Nazareth Pike,Bethlehem,PA,18017,(610) 691-1818,Y,Y,Y,Y,40.67552,-75.344847
,,,,,,,,,,,,
5642,Storefront,327 Franklin Ave,Wyckoff,NJ,7481,(201) 891-9730,N,N,Y,Y,41.011359,-74.167582
,,,,,,,,,,,,
5644,Freestanding,339 Ushy 27 S,Avon Park,FL,33825,(863) 452-2009,N,Y,Y,Y,27.592526,-81.513911
,,,,,,,,,,,,
5645,Freestanding,749 E Lincoln Hwy,Penndel,PA,19047,(215) 757-5888,Y,Y,Y,Y,40.164285,-74.902364
,,,,,,,,,,,,
5646,Freestanding,380 M St,Crescent City,CA,95531-4119,(707) 464-1913,N,Y,Y,Y,41.755344,-124.193527
,,,,,,,,,,,,
5647,Freestanding,3875 Medina Rd,Montrose,OH,44313,(330) 666-2007,Y,Y,Y,Y,41.136425,-81.638749
,,,,,,,,,,,,
5649,Freestanding,2224 Lone Oak Rd,Paducah,KY,42001,(270) 554-8876,Y,Y,Y,Y,37.045892,-88.655299
,,,,,,,,,,,,
5650,Freestanding,4420 Western Avenue,Knoxville,TN,37912,(865) 637-4183,Y,Y,Y,Y,35.972065,-83.986144
,,,,,,,,,,,,
5651,Freestanding,8305 Creedmoor Rd,Raleigh,NC,27613,(919) 847-8111,Y,Y,Y,Y,35.900313,-78.681467
,,,,,,,,,,,,
5653,Freestanding,1512 S 11Th,Nebraska City,NE,68410,(402) 873-6466,N,Y,Y,Y,40.663444,-95.859662
,,,,,,,,,,,,
5656,Freestanding,6840 W Washington St,Indianapolis,IN,46241-2937,(317) 247-0414,N,Y,Y,Y,39.744354,-86.279587
,,,,,,,,,,,,
5657,Freestanding,Rt 309 & Crestwood Dr,Mountain Top,PA,18707,(570) 474-9412,Y,Y,Y,Y,41.143554,-75.900468
,,,,,,,,,,,,
5658,Freestanding,108 Village Rd,Leland,NC,28451,(910) 371-3112,N,Y,Y,Y,34.233994,-77.996516
,,,,,,,,,,,,
5659,Freestanding,200 S Santa Fe Rd,Taos,NM,87571,(575) 758-9762,Y,Y,Y,Y,36.404656,-105.573863
,,,,,,,,,,,,
5660,Freestanding,151 San Felipe Rd,Hollister,CA,95023-3029,(831) 637-0553,N,Y,Y,Y,36.859117,-121.401039
,,,,,,,,,,,,
5661,Freestanding,2164 Bayport,Seabrook,TX,77586-2811,(281) 474-3494,Y,Y,Y,Y,29.572059,-95.026747
,,,,,,,,,,,,
5665,Freestanding,711 W Champaign,Rantoul,IL,61866-2116,(217) 893-4484,Y,Y,Y,Y,40.3079,-88.172643
,,,,,,,,,,,,
5666,Freestanding,10413 E Colonial Dr,Orlando,FL,32817,(407) 282-5575,Y,Y,Y,Y,28.570314,-81.234199
,,,,,,,,,,,,
5667,Freestanding,3221 S White Rd,San Jose,CA,95148-4056,(408) 238-4321,Y,N,Y,Y,37.315996,-121.793639
,,,,,,,,,,,,
5668,Freestanding,3717 N Prospect,Peoria Heights,IL,61614-7742,(309) 686-1337,Y,Y,Y,Y,40.732743,-89.574598
,,,,,,,,,,,,
5669,Freestanding,1550 Simpson Hwy 49,Magee,MS,39111,(601) 849-2038,N,Y,Y,Y,31.867699,-89.738231
,,,,,,,,,,,,
5670,Freestanding,1501 S Muskogee,Tahlequah,OK,74464,(918) 456-4740,Y,Y,Y,Y,35.897013,-94.975881
,,,,,,,,,,,,
5672,Freestanding,3183 Frontage Rd,Gainesville,GA,30504,(770) 532-9288,N,Y,Y,Y,34.22718,-83.865479
,,,,,,,,,,,,
5673,Freestanding,1812 N Neil,Champaign,IL,61820-7817,(217) 359-5251,Y,Y,Y,Y,40.137539,-88.243044
,,,,,,,,,,,,
5674,Freestanding,7901 Oxford Ave,Philadelphia,PA,19111,(215) 725-8650,Y,Y,Y,Y,40.074102,-75.084368
,,,,,,,,,,,,
5675,Freestanding,3301 N Chadam Ln,Muncie,IN,47305,(765) 286-2046,N,Y,Y,Y,40.219439,-85.431431
,,,,,,,,,,,,
5678,Freestanding,1300 N Coast Hwy,Newport,OR,97365-2445,(541) 265-9866,Y,Y,Y,Y,44.646866,-124.052474
,,,,,,,,,,,,
5679,Freestanding,1691 N Hwy 99 W.,Mcminnville,OR,97128-2728,(503) 472-0808,N,Y,Y,Y,45.227023,-123.181755
,,,,,,,,,,,,
5680,Freestanding,900 N Mulberry Street,Elizabethtown,KY,42701-2035,(270) 769-3744,Y,Y,Y,Y,37.705031,-85.846782
,,,,,,,,,,,,
5681,Freestanding,3038 Colby Street,Whitehall,MI,49461-9637,(231) 894-2558,Y,Y,Y,Y,43.409702,-86.318431
,,,,,,,,,,,,
5682,Freestanding,6900 S Lafayette,Chicago,IL,60621-3782,(773) 994-0690,N,Y,Y,Y,41.768626,-87.626965
,,,,,,,,,,,,
5684,Storefront,2870 3Rd Ave,Bronx,NY,10451,(718) 665-5373,N,N,Y,Y,40.816261,-73.917053
,,,,,,,,,,,,
5686,Freestanding,3426 Kitsap Way,Bremerton,WA,98312-2861,(360) 479-3314,Y,Y,Y,Y,47.571805,-122.662224
,,,,,,,,,,,,
5687,Freestanding,15-31 Central Ave,Passaic,NJ,7055,(973) 779-9244,N,Y,Y,Y,40.863605,-74.127991
,,,,,,,,,,,,
5688,Freestanding,5400 S 3900 W,Kearns,UT,84118,(801) 969-1460,N,Y,Y,Y,40.653412,-111.984314
,,,,,,,,,,,,
5690,Freestanding,24 Harvester Square,St. Charles,MO,63303,(636) 441-6820,Y,Y,Y,Y,38.746498,-90.578537
,,,,,,,,,,,,
5691,Freestanding,1861 S 3Rd,Memphis,TN,38109,(901) 774-3339,N,Y,Y,Y,35.096647,-90.056318
,,,,,,,,,,,,
5692,Freestanding,3051 Van Brunt,Kansas City,MO,64128-1877,(816) 861-7282,N,Y,Y,Y,39.069168,-94.519988
,,,,,,,,,,,,
5693,Freestanding,2351 E Wheeling Ave,Cambridge,OH,43725-2164,(740) 432-7682,N,Y,Y,Y,40.029194,-81.565575
,,,,,,,,,,,,
5694,Freestanding,1800 36Th Ave,Moline,IL,61265-6968,(309) 797-2922,Y,Y,Y,Y,41.476984,-90.505408
,,,,,,,,,,,,
5695,Freestanding,5001 Tamiami,Ruskin,FL,33570,(813) 645-2637,N,Y,Y,Y,27.735534,-82.429501
,,,,,,,,,,,,
5696,Freestanding,1410 Huntsville Hwy,Fayetteville,TN,37334-3606,(931) 433-1156,N,Y,Y,Y,35.130135,-86.565785
,,,,,,,,,,,,
5697,Freestanding,3540 N Harlem Ave,Chicago,IL,60634-3629,(773) 622-8811,Y,Y,Y,Y,41.944451,-87.807282
,,,,,,,,,,,,
5698,Freestanding,Hwy 601 & 421,Yadkinville,NC,27055,(336) 679-2834,Y,Y,Y,Y,36.120665,-80.661624
,,,,,,,,,,,,
5699,Freestanding,5666 N Blackstone,Fresno,CA,93710-5004,(559) 432-2500,N,Y,Y,Y,36.820433,-119.789939
,,,,,,,,,,,,
5700,Freestanding,1450 East National Highway,Washington,IN,47501-3760,(812) 254-1212,N,Y,Y,Y,38.652544,-87.158076
,,,,,,,,,,,,
5701,Freestanding,5701 N Yellowstone Rd,Cheyenne,WY,82009-4132,(307) 634-2757,Y,Y,Y,Y,41.171527,-104.8293
,,,,,,,,,,,,
5702,Freestanding,2438 W Cermak,Chicago,IL,60623,(773) 927-8643,Y,Y,Y,Y,41.852269,-87.687428
,,,,,,,,,,,,
5703,Freestanding,600 Sidney Baker,Kerrville,TX,78028-4556,(830) 896-7644,N,Y,Y,Y,30.050211,-99.138002
,,,,,,,,,,,,
5704,Freestanding,7480 Starkey Rd,Seminole,FL,33777-4301,(727) 398-1022,N,Y,Y,Y,27.839893,-82.762827
,,,,,,,,,,,,
5708,Freestanding,2525 S Martin Luther King Dr,Chicago,IL,60616,(312) 842-8643,N,Y,Y,Y,41.847136,-87.616806
,,,,,,,,,,,,
5709,Freestanding,17 Ernst Pl,East Aurora,NY,14052,(716) 652-9759,Y,Y,Y,Y,42.767718,-78.629887
,,,,,,,,,,,,
5710,Freestanding,1205 W Sylvania Ave,Toledo,OH,43612-1705,(419) 476-8946,N,Y,Y,Y,41.692222,-83.570006
,,,,,,,,,,,,
5712,Freestanding,1019 Hwy 62E,Mountain Home,AR,72653-3215,(870) 425-1155,N,Y,Y,Y,36.350432,-92.369582
,,,,,,,,,,,,
5714,Freestanding,13630 S Cicero Ave,Crestwood,IL,60445-1937,(708) 371-0650,N,Y,Y,Y,41.644267,-87.738599
,,,,,,,,,,,,
5715,Freestanding,1705 S Highland,Jackson,TN,38301-7718,(731) 422-4791,N,Y,Y,Y,35.563458,-88.814752
,,,,,,,,,,,,
5716,Freestanding,1535 E. College,Normal,IL,61761-2104,(309) 454-4141,Y,Y,Y,Y,40.50988,-88.956166
,,,,,,,,,,,,
5721,Freestanding,301 N Service Rd E,Ruston,LA,71270-2806,(318) 255-5621,N,Y,Y,Y,32.541086,-92.634873
,,,,,,,,,,,,
5723,Freestanding,473 Main St,Walnutport,PA,18088,(610) 767-1490,Y,Y,Y,Y,40.757416,-75.594435
,,,,,,,,,,,,
5724,Freestanding,3149 N Thomas St,Memphis,TN,38127-6002,(901) 358-3343,N,Y,Y,Y,35.21154,-90.032672
,,,,,,,,,,,,
5725,Freestanding,1811 S Church St,Smithfield,VA,23430,(757) 357-6116,N,Y,Y,Y,36.964133,-76.605686
,,,,,,,,,,,,
5727,Freestanding,Us Route 9 Duchess Mall,Fishkill,NY,12524,(845) 896-7778,N,Y,Y,Y,41.518574,-73.890228
,,,,,,,,,,,,
5728,Freestanding,3126 National Rd W,Richmond,IN,47374-4414,(765) 935-2979,N,Y,Y,Y,39.823116,-84.943653
,,,,,,,,,,,,
5729,Freestanding,7 Maple St,Plainville,CT,6062,(860) 747-0887,N,Y,Y,Y,41.670999,-72.86107
,,,,,,,,,,,,
5730,Freestanding,310 Hwy 301 N,Dillon,SC,29536,(843) 774-7585,N,Y,Y,Y,34.418838,-79.369058
,,,,,,,,,,,,
5731,Freestanding,2608 S 1St St,Tucumcari,NM,88401-4203,(575) 461-4900,Y,Y,Y,Y,35.154393,-103.724345
,,,,,,,,,,,,
5732,Freestanding,1375 N Shoop,Wauseon,OH,43567-1826,(419) 337-6776,Y,Y,Y,Y,41.570717,-84.134994
,,,,,,,,,,,,
5733,Freestanding,1911 Old Preston Hwy N,Hillview,KY,40229,(502) 955-8088,Y,Y,Y,Y,38.083325,-85.6684
,,,,,,,,,,,,
5735,Freestanding,1602 N Main St,Rushville,IN,46173-1121,(765) 932-5545,N,Y,Y,Y,39.625615,-85.444402
,,,,,,,,,,,,
5736,Freestanding,2845 Fish Hatchery Rd,Fitchburg,WI,53713,(608) 395-1636,N,Y,Y,Y,43.029856,-89.409507
,,,,,,,,,,,,
5737,Freestanding,960 Schuylkill Mall,Frackville,PA,17931,(570) 874-4434,N,Y,Y,Y,40.770304,-76.222504
,,,,,,,,,,,,
5738,Freestanding,478 N Main St.,Frankenmuth,MI,48734,(989) 652-3132,Y,Y,Y,Y,43.341664,-83.738822
,,,,,,,,,,,,
5739,Freestanding,2463 S. Euclid Avenue,Ontario,CA,91761,(909) 983-6303,N,Y,Y,Y,34.028564,-117.650162
,,,,,,,,,,,,
5740,Freestanding,4930 N Hwy 89,Flagstaff,AZ,86001,(928) 526-2235,N,Y,Y,Y,35.226609,-111.579683
,,,,,,,,,,,,
5741,Freestanding,4155 N Andrews,Odessa,TX,79762-5505,(301) 262-8954,Y,Y,Y,Y,31.881394,-102.38524
,,,,,,,,,,,,
5742,Freestanding,10585 Greenbelt Road,Seabrook,MD,20706,(301) 262-2011,N,Y,Y,Y,38.989342,-76.823043
,,,,,,,,,,,,
5743,Freestanding,150 Cleveland Ave,Atlanta,GA,30315,(404) 766-7779,Y,Y,Y,Y,33.680786,-84.39402
,,,,,,,,,,,,
5744,Freestanding,2350 N. Central,Chicago,IL,60639-2934,(773) 622-4405,N,Y,Y,Y,41.923615,-87.766337
,,,,,,,,,,,,
5745,Freestanding,6034 W 95Th St,Oak Lawn,IL,60453-2734,(708) 430-6934,N,Y,Y,Y,41.72006,-87.771865
,,,,,,,,,,,,
5747,Freestanding,761 S Fortuna Blvd,Fortuna,CA,95540-3034,(707) 725-9530,Y,Y,Y,Y,40.58245,-124.146309
,,,,,,,,,,,,
5748,Freestanding,4140 Hunt Rd,Blue Ash,OH,45236,(513) 793-9870,Y,Y,Y,Y,39.226463,-84.396935
,,,,,,,,,,,,
5749,Freestanding,3000 North Main Street,Hope Mills,NC,28348-1722,(910) 425-5329,Y,Y,N,Y,34.98524,-78.965279
,,,,,,,,,,,,
5753,Freestanding,170 Revere Beach Pky,Chelsea,MA,2150,(617) 889-3571,N,Y,Y,Y,42.404182,-71.035538
,,,,,,,,,,,,
5754,Freestanding,2 West Frankfort Plaza,West Frankfort,IL,62896,(618) 937-4900,Y,Y,Y,Y,37.896837,-88.951395
,,,,,,,,,,,,
5755,Freestanding,350 Oriskany Blvd,Yorkville,NY,13495,(315) 736-9281,Y,Y,Y,Y,43.114444,-75.276821
,,,,,,,,,,,,
5756,Freestanding,Business 54 South,Fulton,MO,65251,(573) 642-1808,N,Y,Y,Y,38.840927,-91.950772
,,,,,,,,,,,,
5757,Freestanding,3201 Taylorsville Highway,Statesville,NC,28625,(704) 872-6718,Y,Y,Y,Y,35.796088,-80.938887
,,,,,,,,,,,,
5758,Freestanding,"2271 Elkhorn Road, North",Lexington,KY,40505-4813,(859) 293-5312,N,Y,Y,Y,38.042555,-84.424088
,,,,,,,,,,,,
5760,Freestanding,22644 Pacific Hwy S,Des Moines,WA,98198-5109,(206) 824-7414,Y,Y,Y,Y,47.397982,-122.295337
,,,,,,,,,,,,
5761,Freestanding,2501 N Dixie Hwy,Lake Worth,FL,33460,(561) 582-1174,N,Y,Y,Y,26.643753,-80.056775
,,,,,,,,,,,,
5762,Freestanding,1035 N Wendover,Charlotte,NC,28211,(704) 362-3748,N,Y,Y,Y,35.192908,-80.79575
,,,,,,,,,,,,
5763,Storefront,1101 Fort Street Mall,Honolulu,HI,96813,(808) 532-1596,N,N,Y,Y,21.30986,-157.860991
,,,,,,,,,,,,
5764,Storefront,808 Dallas,Houston,TX,77002-5902,(713) 651-9449,N,N,Y,Y,29.756246,-95.367753
,,,,,,,,,,,,
5767,Freestanding,27680 Hwy 50 Frontage Road,La Junta,CO,81050-9717,(719) 384-8979,N,Y,Y,Y,37.991418,-103.570852
,,,,,,,,,,,,
5768,Freestanding,2840 Chaska Blvd,Chaska,MN,55318-2294,(952) 448-6423,Y,Y,Y,Y,44.795586,-93.591438
,,,,,,,,,,,,
5769,Freestanding,15035 Canada Ave,Rosemount,MN,55068-1758,(651) 423-1030,Y,Y,Y,Y,44.731148,-93.132095
,,,,,,,,,,,,
5773,Freestanding,13636 100Th Ave Ne,Kirkland,WA,98033,(425) 823-8731,Y,Y,Y,Y,47.722784,-122.20729
,,,,,,,,,,,,
5774,Freestanding,909 N. St. Joseph Ave.,Evansville,IN,47712,(812) 422-8717,N,Y,Y,Y,37.986435,-87.600054
,,,,,,,,,,,,
5776,Freestanding,1775 Military Trl,West Palm Beach,FL,33409,(561) 684-9120,N,Y,Y,Y,26.703748,-80.111819
,,,,,,,,,,,,
5778,Freestanding,816 West College,Marshall,MO,65340-2913,(660) 886-9030,Y,Y,Y,Y,39.107973,-93.208995
,,,,,,,,,,,,
5779,Freestanding,13250 Tesson Ferry Rd,St. Louis,MO,63128,(314) 843-7112,N,Y,Y,Y,38.486092,-90.382858
,,,,,,,,,,,,
5780,Freestanding,3291 Court St,Pekin,IL,61554-6208,(309) 353-5880,Y,Y,Y,Y,40.546444,-89.602434
,,,,,,,,,,,,
5781,Freestanding,2066 Cedar Creek Rd,Fayetteville,NC,28301,(910) 485-7939,N,Y,N,Y,35.006179,-78.817448
,,,,,,,,,,,,
5782,Freestanding,2701 White Ln,Bakersfield,CA,93304-6815,(661) 834-8560,N,Y,Y,Y,35.317215,-119.033245
,,,,,,,,,,,,
5783,Freestanding,107 E Hwy 260,Payson,AZ,85541-4926,(928) 474-3698,Y,Y,Y,Y,34.240227,-111.322383
,,,,,,,,,,,,
5787,Freestanding,200 Frederick Road,Thurmont,MD,21788,(301) 271-3003,Y,Y,Y,Y,39.613511,-77.418723
,,,,,,,,,,,,
5790,Freestanding,1442 E 40Th St,Hibbing,MN,55746,(218) 262-1186,N,Y,Y,Y,47.400057,-92.924238
,,,,,,,,,,,,
5791,Freestanding,610 W Sioux Ave,Pierre,SD,57501,(605) 224-5003,N,Y,Y,Y,44.371435,-100.361031
,,,,,,,,,,,,
5795,Freestanding,17450 140Th Ave Ne,Woodinville,WA,98072,(425) 483-5797,N,Y,Y,Y,47.752931,-122.153237
,,,,,,,,,,,,
5796,Freestanding,16802 Gudgell,Independence,MO,64055-2018,(816) 373-9996,Y,Y,Y,Y,39.072524,-94.379856
,,,,,,,,,,,,
5797,Freestanding,3124 10 Mile Rd.,Jefferson City,MO,65109-1728,(573) 893-4921,N,Y,Y,Y,38.580698,-92.23513
,,,,,,,,,,,,
5798,Freestanding,Rt 20 & Greenwood St,Worcester,MA,1607,(508) 752-1097,Y,Y,Y,Y,42.211311,-71.795837
,,,,,,,,,,,,
5799,Freestanding,601 Aberdeen Rd,Hampton,VA,23661,(757) 838-1270,N,Y,Y,Y,37.012478,-76.403601
,,,,,,,,,,,,
5801,Freestanding,6239 Richmond Hwy,Alexandria,VA,22303,(703) 765-5857,N,Y,Y,Y,38.781839,-77.077343
,,,,,,,,,,,,
5802,Freestanding,12301 Coastal Hwy,Ocean City,MD,21842,(410) 250-5454,N,Y,Y,Y,38.428695,-75.055911
,,,,,,,,,,,,
5803,Freestanding,6924 Antoine,Houston,TX,77091-1212,(713) 683-0752,Y,Y,Y,Y,29.86237,-95.472952
,,,,,,,,,,,,
5804,Freestanding,1817 N Beltline Rd,Mesquite,TX,75149-1718,(972) 216-0590,Y,Y,Y,Y,32.789227,-96.596417
,,,,,,,,,,,,
5805,Freestanding,1909 Four Seasons Blvd,Hendersonville,NC,28739,(828) 697-6493,N,Y,Y,Y,35.337746,-82.445151
,,,,,,,,,,,,
5806,Freestanding,666 Harbor Blvd.,Santa Ana,CA,92704-1384,(714) 839-8131,N,Y,Y,Y,33.738503,-117.920479
,,,,,,,,,,,,
5807,Freestanding,12730 Harbor Dr,Lake Ridge,VA,22192,(703) 491-5563,N,Y,Y,Y,38.676916,-77.279454
,,,,,,,,,,,,
5808,Freestanding,1102 N California St,Socorro,NM,87801-4266,(575) 835-3684,Y,Y,Y,Y,34.072169,-106.892884
,,,,,,,,,,,,
5809,Freestanding,450 Merrifield Rd,Dallas,TX,75211,(214) 330-0327,Y,Y,Y,Y,32.749009,-96.922325
,,,,,,,,,,,,
5810,Freestanding,1207 N Jefferson,Indianola,IA,50125-1455,(515) 961-2589,N,Y,Y,Y,41.372116,-93.558963
,,,,,,,,,,,,
5811,Freestanding,610 E Dr Martin Luther King Jr,Seffner,FL,33584,(813) 685-3118,Y,Y,Y,Y,27.981165,-82.28566
,,,,,,,,,,,,
5812,Freestanding,1300 Wildcat Dr,Portland,TX,78374,(361) 643-8115,Y,Y,Y,Y,27.8826555,-97.3186264
,,,,,,,,,,,,
5813,Freestanding,4047 East 106Th Street,Chicago,IL,60617-6341,(773) 721-7171,N,Y,Y,Y,41.702458,-87.524928
,,,,,,,,,,,,
5814,Freestanding,4317 Fort Henry Dr,Kingsport,TN,37662,(423) 239-7911,N,Y,Y,Y,36.481284,-82.496518
,,,,,,,,,,,,
5815,Freestanding,4012 South Lincoln Ave.,York,NE,68467,(402) 362-2363,N,Y,Y,Y,40.824265,-97.598531
,,,,,,,,,,,,
5816,Freestanding,550 E Industrial Park Rd #14 Rt 13 & 1,Murphysboro,IL,62966-9306,(618) 687-1171,Y,Y,Y,Y,37.788783,-89.325173
,,,,,,,,,,,,
5817,Freestanding,3330 S Range Line,Joplin,MO,64804,(417) 782-2519,N,Y,Y,Y,37.051979,-94.47908
,,,,,,,,,,,,
5818,Freestanding,9190 North Federal Blvd.,Federal Heights,CO,80221-5835,(303) 426-1535,Y,Y,Y,Y,39.86314,-105.024602
,,,,,,,,,,,,
5819,Freestanding,6300 South Broadway,Littleton,CO,80120,(303) 794-6714,N,Y,Y,Y,39.602029,-104.987548
,,,,,,,,,,,,
5821,Freestanding,5700 Forest Bend,Arlington,TX,76017,(817) 572-0091,Y,Y,Y,Y,32.672558,-97.193951
,,,,,,,,,,,,
5822,Freestanding,5426 Us Hwy 231,Wetumpka,AL,36092-3139,(334) 567-7732,N,Y,Y,Y,32.519585,-86.210031
,,,,,,,,,,,,
5825,Freestanding,6048 Harding Hwy,Mays Landing,NJ,8330,(609) 625-1568,N,Y,Y,Y,39.447574,-74.733932
,,,,,,,,,,,,
5827,Freestanding,3132 Peach Orchard Rd,Augusta,GA,30906,(706) 798-6168,N,Y,Y,Y,33.409793,-82.02643
,,,,,,,,,,,,
5828,Freestanding,7001 Us Hwy 19 N.,Pinellas Park,FL,33781,(727) 522-3274,N,Y,Y,Y,27.835943,-82.680831
,,,,,,,,,,,,
5829,Freestanding,10295 S Clare Ave,Clare,MI,48617-9733,(989) 386-7472,Y,Y,Y,Y,43.839828,-84.767523
,,,,,,,,,,,,
5831,Freestanding,350 W Main St,New Lebanon,OH,45345-1450,(937) 687-2224,N,Y,Y,Y,39.745082,-84.392479
,,,,,,,,,,,,
5832,Freestanding,474 Springridge Rd,Clinton,MS,39056-4852,(601) 924-1644,N,Y,Y,Y,32.329231,-90.326508
,,,,,,,,,,,,
5834,Freestanding,2518 W Liberty Rd,Pittsburgh,PA,15226,(412) 561-8223,N,Y,Y,Y,40.398794,-80.026418
,,,,,,,,,,,,
5835,Freestanding,520 N 22Nd St,Louisville,KY,40203-1020,(502) 775-5454,N,Y,Y,Y,38.267374,-85.783521
,,,,,,,,,,,,
5836,Freestanding,314 N Mulford Rd,Rockford,IL,61107-5158,(815) 398-7117,Y,Y,Y,Y,42.269804,-89.000384
,,,,,,,,,,,,
5837,Freestanding,Franklin Vlg Shpg Ctr,Kittanning,PA,16201,(724) 543-6542,Y,Y,Y,Y,40.81247,-79.548174
,,,,,,,,,,,,
5838,Freestanding,2913 Hwy 17 Business,Garden City,SC,29576,(843) 651-4448,Y,Y,Y,Y,33.584719,-79.013097
,,,,,,,,,,,,
5839,Freestanding,1513 Holland Rd,Suffolk,VA,23434,(757) 934-3903,N,Y,Y,Y,36.725125,-76.633742
,,,,,,,,,,,,
5840,Freestanding,480 E Morgan Ave,Spencer,IN,47460,(812) 829-2630,N,Y,Y,Y,39.286789,-86.756885
,,,,,,,,,,,,
5842,Freestanding,Rt 202 & 1,Concordville,PA,19331,(610) 459-0996,Y,Y,Y,Y,39.879156,-75.545939
,,,,,,,,,,,,
5843,Freestanding,324 W Bridge St,New Hope,PA,18938,(215) 862-5061,Y,Y,Y,Y,40.363557,-74.966217
,,,,,,,,,,,,
5845,Freestanding,835 Lime City Rd,Rossford,OH,43460-1613,(419) 666-7575,N,Y,Y,Y,41.587281,-83.567076
,,,,,,,,,,,,
5846,Freestanding,57626 29 Palms Hwy,Yucca Valley,CA,92284-3073,(760) 365-0707,Y,Y,Y,Y,34.126534,-116.405807
,,,,,,,,,,,,
5850,Freestanding,894 Meriden Waterbury Turnpike,Plantsville,CT,06479-2010,(860) 621-2739,N,Y,Y,Y,41.562779,-72.87444
,,,,,,,,,,,,
5851,Freestanding,1195 E 16Th St,Yuma,AZ,85364,(928) 782-2113,N,Y,Y,Y,32.697885,-114.609279
,,,,,,,,,,,,
